"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_05-B11_02",43703,127.310005187988,495.175018310547,472.700012207031,433.1875,415.134948730469,458.055053710938,262.014892578125,47.6324462890625,0,0,26.969970703125,564.557495117188,5891.78485107422,14580.2569580078,7227.23492431641,5721.48229980469,0,0,0,0,0,0,0,0,0,0,0,0,1092.78131103516,1962.19390869141,1089.00006103516,611.256286621094,0,0,0,0,0,0,0,0,208.753082275391,1409.62493896484,2502.47793579102,2145.34674072266,1193.58743286133,1518.49682617188,0,0,0,0,0,14.2218780517578,584.345642089844,635.266891479492,369.283157348633,256.063117980957,0,49.7199859619141,582.58561706543,3189.70751953125,6811.63989257812,4467.17236328125,3573.20120239258,2098.0569152832
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_06-B11_03",37181,116.000007629395,533.672515869141,557.234985351562,526.784973144531,517.649963378906,594.065063476562,431.664794921875,160.29736328125,75.762451171875,48.50244140625,69.2374877929688,659.822509765625,7010.60467529297,16467.8673095703,8467.56500244141,6653.68737792969,0,0,0,0,0,0,0,0,0,0,0,58.09375,1402.84381103516,2459.60015869141,1356.36883544922,727.650024414062,0,0,0,0,0,0,19.8843688964844,35.4375,300.759368896484,1785.39361572266,3670.86538696289,2661.55303955078,1440.66555786133,1845.11242675781,28.3049926757812,21.228759765625,10.8224945068359,0,17.6906127929688,60.6337432861328,750.706909179688,783.035629272461,440.323135375977,293.456245422363,0,92.3068695068359,749.54313659668,4043.56372070312,8876.64477539062,5610.16748046875,4493.23318481445,2607.05130004883
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_06-B11_02",35251,112.519996643066,490.317474365234,483.284973144531,444.135009765625,416.802429199219,452.327514648438,233.232421875,26.8974609375,0,0,28.7099914550781,585.29248046875,6283.28485107422,14998.5821533203,7619.16949462891,5980.08972167969,0,0,0,0,0,0,0,0,0,0,0,0,1174.93756103516,2126.91876220703,1175.62506103516,640.887512207031,0,0,0,0,0,0,0,0,237.759368896484,1558.85614013672,2671.92178344727,2356.52813720703,1287.16873168945,1619.55932617188,0,0,0,0,0,21.1593780517578,642.204406738281,700.826278686523,390.78938293457,264.457496643066,0,68.7181243896484,656.388717651367,3565.07934570312,7981.68481445312,4971.3642578125,3970.1135559082,2311.98001098633
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_05-B11_03",20084,80.765007019043,333.790008544922,333.463745117188,302.179992675781,278.617492675781,301.418823242188,117.631225585938,0,0,0,4.20498657226562,371.526245117188,3809.80218505859,9421.51965332031,4714.16729736328,3742.84875488281,0,0,0,0,0,0,0,0,0,0,0,0,726.103149414062,1326.77197265625,740.575012207031,417.725036621094,0,0,0,0,0,0,0,0,123.112487792969,940.799987792969,2149.28433227539,1429.67333984375,808.565582275391,1019.71405029297,0,0,0,0,0,0,357.24658203125,415.001266479492,226.578750610352,159.631874084473,0,5.57937622070312,374.948104858398,2096.04406738281,4353.46630859375,2940.68371582031,2366.18460083008,1395.26754760742
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_04-B11_02",5587,10.5850067138672,141.737518310547,147.465026855469,112.302551269531,89.8274536132812,73.080078125,0,0,0,0,0,146.667510986328,1922.69989013672,5177.51477050781,2389.52740478516,1897.10754394531,0,0,0,0,0,0,0,0,0,0,0,0,274.037536621094,584.306335449219,291.568786621094,157.506256103516,0,0,0,0,0,0,0,0,0,429.384338378906,772.209381103516,682.368713378906,384.037506103516,478.537475585938,0,0,0,0,0,0,86.1637573242188,152.625015258789,62.5068817138672,23.7262496948242,0,0,106.643753051758,1006.05310058594,1867.96069335938,1456.28747558594,1157.75564575195,656.741851806641
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_07-B11_03",4861,47.7050094604492,181.612518310547,192.27001953125,142.535034179688,123.539978027344,63.58251953125,0,0,0,0,0,215.614990234375,2629.06732177734,5808.55480957031,3200.58502197266,2517.48986816406,0,0,0,0,0,0,0,0,0,0,0,0,454.987487792969,879.243835449219,467.087463378906,258.362487792969,0,0,0,0,0,0,0,0,63.5249938964844,668.587463378906,1410.54373168945,1012.13433837891,563.653106689453,696.412475585938,0,0,0,0,0,0,221.653137207031,264.249374389648,131.673751831055,92.6850051879883,0,0,270.281845092773,1509.25622558594,3684.08227539062,2115.28930664062,1698.03689575195,995.106231689453
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_07-B11_02",3393,0,164.212493896484,150.002502441406,112.230041503906,71.6300048828125,18.56005859375,0,0,0,0,0,173.637512207031,2223.86492919922,5002.78967285156,2735.78741455078,2159.63000488281,0,0,0,0,0,0,0,0,0,0,0,0,323.675048828125,716.993835449219,337.837524414062,188.993774414062,0,0,0,0,0,0,0,0,25.0687255859375,537.337463378906,785.793731689453,833.896789550781,466.396820068359,586.228088378906,0,0,0,0,0,0,163.447509765625,210.41438293457,90.9506378173828,66.9468765258789,0,0,190.61686706543,1270.89685058594,3181.30322265625,1808.91821289062,1435.17056274414,834.716827392578
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_04-B11_03",3303,12.6149978637695,133.327514648438,121.29248046875,101.717529296875,75.907470703125,50.75,0,0,0,0,0,127.527496337891,1656.47991943359,4373.19982910156,2050.44488525391,1643.79235839844,0,0,0,0,0,0,0,0,0,0,0,0,239.868774414062,525.868835449219,264.275024414062,145.956268310547,0,0,0,0,0,0,0,0,0,372.356201171875,1040.48428344727,606.112487792969,326.549957275391,430.631225585938,0,0,0,0,0,0,48.2850036621094,125.846237182617,50.2275085449219,28.5824966430664,0,0,90.9650115966797,851.525634765625,1566.46240234375,1239.32751464844,985.995635986328,568.319366455078
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_05-B11_01",3258,7.93875122070312,120.712493896484,122.380004882812,93.0537719726562,73.3699951171875,35.561279296875,0,0,0,0,0,111.142517089844,1715.82122802734,4334.52111816406,2099.30999755859,1642.92248535156,0,0,0,0,0,0,0,0,0,0,0,0,189.096923828125,483.174987792969,215.1875,121.859390258789,0,0,0,0,0,0,0,0,0,375.998413085938,285.074981689453,605.128082275391,334.228118896484,404.742156982422,0,0,0,0,0,0,45.510009765625,118.041564941406,29.7618713378906,24.0731201171875,0,0,99.7931365966797,889.76904296875,1951.8984375,1257.01904296875,1017.95346069336,582.232513427734
"CD38 BUV737 (Cells)","01-Aug-2024","Aug1","UV14_10-R5_06-B11_01",2231,2.7550048828125,109.112518310547,127.962524414062,79.4600219726562,48.6474609375,3.77001953125,0,0,0,0,0,115.855010986328,1593.76751708984,3852.79504394531,1930.74737548828,1555.48742675781,0,0,0,0,0,0,0,0,0,0,0,0,166.993774414062,473.000061035156,186.037475585938,113.162506103516,0,0,0,0,0,0,0,0,0,354.046875,244.059356689453,578.024963378906,312.834381103516,392.634338378906,0,0,0,0,0,0,51.8231201171875,91.9218902587891,31.8431243896484,28.3050003051758,0,0,89.0581207275391,847.641235351562,2102.2236328125,1231.34692382812,986.984405517578,559.067474365234
