"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_09-V10_04",10660,191.762489318848,837.447448730469,1133.68246459961,1334.68872070312,1685.62506103516,2663.39611816406,4185.78735351562,2609.42016601562,5737.5771484375,20942.2405395508,8392.12872314453,4443.01736450195,2614.20503234863,2347.91253662109,1533.73745727539,846.111251831055,590.356231689453,2315.01879882812,3445.68139648438,3001.89990234375,3145.24365234375,2834.5283203125,3462.49072265625,3003.99682617188,3750.38110351562,7215.00366210938,2748.96875,1401.33129882812,950.949951171875,701.662536621094,528.962524414062,222.200012207031,704.648376464844,795.243713378906,1116.51086425781,954.482788085938,1363.03118896484,1874.61087036133,1074.01870727539,790.453094482422,740.873352050781,404.446853637695,265.092163085938,213.642181396484,144.407806396484,135.3515625,1627.05187988281,8185.83377075195,17848.904296875,8465.97048950195,6603.18197631836,4942.83020019531,4538.37371826172,1823.83407592773,1273.1353302002,587.987815856934,301.286254882812,382.681564331055,404.398727416992,354.996566772461,304.429054260254,237.759071350098,251.424987792969,155.092506408691
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_10-V10_04",2954,153.736251831055,737.54248046875,1024.13497924805,1197.55499267578,1530.14862060547,2390.54235839844,3773.58862304688,2310.46618652344,5441.30615234375,19945.6926879883,8143.34503173828,4283.91604614258,2477.72358703613,2234.63116455078,1419.5862121582,795.578720092773,441.890655517578,1650.65319824219,2449.11572265625,2150.19067382812,2418.796875,2283.66870117188,2865.1220703125,2625.28735351562,3498.10327148438,6955.60961914062,2649.93444824219,1330.3125,885.396911621094,646.628173828125,477.571899414062,198.584396362305,669.801513671875,760.528076171875,1076.67651367188,934.171875,1333.79528808594,1852.52810668945,1058.49838256836,783.792144775391,726.009338378906,408.974990844727,263.714050292969,215.085922241211,132.004684448242,132.759384155273,1612.72589111328,8216.28982543945,18445.564453125,8497.7092590332,6683.41415405273,4942.13635253906,4492.89837646484,1790.1872253418,1247.95222473145,571.64998626709,294.647491455078,374.453750610352,399.349075317383,362.094390869141,306.72437286377,233.486259460449,264.985000610352,145.240310668945
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_09-V10_03",1980,209.742485046387,839.151184082031,1086.62997436523,1224.0537109375,1554.76251220703,2426.61108398438,3732.87963867188,2263.41381835938,5627.95727539062,21846.7151489258,8729.68829345703,4598.20364379883,2695.11494445801,2387.64251708984,1583.0012512207,846.69123840332,422.056243896484,1554.02514648438,2313.12817382812,1988.73120117188,2072.19384765625,1860.3408203125,2219.765625,2101.34350585938,3141.0498046875,6174.57543945312,2403.53442382812,1209.03753662109,785.503112792969,556.153137207031,386.306274414062,136.193771362305,480.965576171875,584.489013671875,853.518676757812,751.767150878906,1176.09838867188,1724.65774536133,970.068695068359,709.734344482422,674.329650878906,353.882797241211,227.45622253418,173.348434448242,108.445297241211,102.932815551758,1612.69128417969,8374.53396606445,18490.1025390625,8702.6428527832,6849.77548217773,5100.48474121094,4647.77801513672,1894.90878295898,1286.83686828613,591.56063079834,279.427825927734,355.208419799805,377.314071655273,301.145004272461,276.108436584473,205.483451843262,227.553756713867,124.865005493164
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","V4_10-YG3_00-UV10_00",1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.546875,470.078125,630.231323242188,1174.9375,240.796997070312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.929069519043,36.7956237792969,31.1809310913086,36.0540618896484,16.2790679931641,52.0153121948242,40.8918762207031,37.6431198120117
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_08-V10_04",1723,203.57999420166,819.902526855469,1116.57247924805,1318.55749511719,1721.22247314453,2742.96484375,4395.45751953125,2755.28979492188,5206.36962890625,17462.2044067383,6918.09503173828,3631.30740356445,2174.99995422363,1962.21234130859,1299.99746704102,721.664962768555,589.256256103516,2369.9501953125,3522.13110351562,3101.1748046875,3200.86254882812,2804.38134765625,3376.03759765625,2857.66235351562,3231.86865234375,5965.98754882812,2334.33752441406,1172.25622558594,819.018798828125,622.393798828125,477.8125,234.231262207031,653.887451171875,727.912414550781,1030.37817382812,908.118774414062,1164.97497558594,1538.24990844727,910.349945068359,657.693756103516,622.321838378906,357.590621948242,236.249969482422,181.912506103516,133.874984741211,114.253112792969,1334.28942871094,6391.03298950195,13575.0224609375,6703.3596496582,5289.42758178711,3927.24963378906,3678.74822998047,1494.75375366211,1029.38624572754,496.44750213623,274.095642089844,330.948745727539,358.775009155273,333.985641479492,278.898139953613,238.500617980957,237.794372558594,156.010627746582
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_00-V3_00",1654,0,15.6599884033203,51.2937622070312,37.5912475585938,37.2650146484375,29.3624267578125,0,0,0,895.374938964844,63.2200012207031,20.3000183105469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","V4_10-UV10_00-YG3_00",1517,1.52249908447266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.518768310547,981.13134765625,1276.6875,1795.81860351562,1005.53759765625,671.137451171875,541.0625,300.918701171875,132.756225585938,20.006103515625,22.7562255859375,16.5687255859375,12.856201171875,8.59375,0,0,34.4530639648438,9.84375,9.121826171875,0,0,0,0,0,0,0,0,0,6.62812805175781,7.61250305175781,0,0,0,0,0,0,0,0,0,6.03562927246094,44.2818756103516,45.6237487792969,28.7443695068359,43.7874908447266,25.7781219482422,44.9174957275391,50.8499908447266,32.9818725585938
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_09-V10_05",1184,153.98999786377,693.353698730469,1060.5299987793,1263.49371337891,1686.53118896484,2709.14367675781,4395.53002929688,2785.63134765625,4978.03100585938,15583.2219848633,6325.73345947266,3351.05862426758,1998.31745910645,1789.48120117188,1166.81497192383,671.241256713867,576.571868896484,2199.65649414062,3275.45629882812,2905.58129882812,3216.6748046875,2967.00927734375,3661.72827148438,3215.953125,3499.03125,6614.33422851562,2438.97509765625,1257.54064941406,948.234375,713.178100585938,562.546875,267.265625,772.2421875,850.106262207031,1221.21557617188,1049.57342529297,1327.33117675781,1635.27651977539,1006.62185668945,738.904632568359,715.017150878906,399.032791137695,279.004669189453,201.140625,163.439056396484,142.045303344727,1326.24188232422,6143.39895629883,13340.4306640625,6533.6682434082,5124.03744506836,3774.728515625,3519.91412353516,1422.5690612793,1009.26747131348,465.887840270996,265.761871337891,345.462188720703,373.818130493164,385.612503051758,289.315315246582,214.452812194824,258.452178955078,162.508125305176
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_06-V3_00",1166,25.6287536621094,40.4912414550781,69.8900146484375,81.8162231445312,69.5274963378906,87.2174072265625,0,0,44.1162109375,1340.19866943359,301.346252441406,163.668762207031,83.8462524414062,84.5712585449219,36.2862396240234,11.9987487792969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9462432861328,329.461883544922,734.334350585938,297.653442382812,248.189056396484,168.477188110352,114.780960083008,55.5346908569336,24.940315246582,7.11093521118164,0,0,0,0,0,0,0,0
"CD89 BUV615 (Cells)","01-Aug-2024","Aug1","UV10_10-YG3_05-V3_00",1097,7.25,79.8224792480469,65.1775207519531,78.5900268554688,69.9625244140625,93.3074951171875,0,0,0,1286.51251220703,313.635009765625,151.017517089844,89.6825103759766,57.4924926757812,49.2275085449219,9.86000061035156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9375,253.218719482422,576.922485351562,249.541900634766,206.390655517578,159.354370117188,113.844390869141,44.6775054931641,12.4875030517578,0,0,13.0656127929688,0,0,0,7.62750244140625,0,0
