"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-YG9_03-V15_02",103683,0,0,22.6200256347656,35.416259765625,52.0549926757812,106.285034179688,171.788696289062,61.697509765625,7.39501953125,0.50750732421875,27.9849853515625,3.04500579833984,15.6237487792969,503.693733215332,2516.83731842041,2317.89755249023,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.09692382812,6126.51873779297,3710.36874389648,0,0,0,0,0,0,0,0,0,0,5.578125,199.926551818848,592.626518249512,720.726554870605,0,0,0,304.139984130859,185.508758544922,118.24967956543,272.504989624023,1973.92682647705,10336.5977783203,8144.59007644653,686.828125,603.066879272461,379.326904296875,484.063751220703,2065.07498168945,13700.9325790405,46904.81640625,28314.6576538086
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-YG9_02-V15_02",11056,0,0,18.9950103759766,30.4862365722656,47.9587707519531,87.072509765625,113.099975585938,26.28125,0,0,10.7662506103516,0,2.79124450683594,402.266242980957,2118.08744049072,1931.58126831055,0,0,0,0,0,0,0,0,0,0,0,0,0,816.200012207031,5357.96258544922,3199.62509155273,0,0,0,0,0,0,0,0,0,0,0,163.110939025879,506.723442077637,601.453086853027,0,0,0,253.704360961914,147.942184448242,91.8871917724609,212.842514038086,1715.29688262939,8503.88342285156,7084.15892410278,598.264343261719,517.575332641602,321.873443603516,411.814361572266,1853.27059936523,12693.113243103,43864.41015625,26073.5140991211
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-V7_03-YG9_03",8655,43.8262519836426,104.97998046875,193.864990234375,296.851226806641,459.867492675781,832.37255859375,1792.30871582031,1326.31506347656,1314.85986328125,469.437438964844,278.182495117188,160.950004577637,139.30876159668,278.073738098145,766.687477111816,733.264984130859,449.59065246582,1754.84387207031,2612.08752441406,2351.55920410156,2650.86267089844,2490.84692382812,3070.68469238281,2325.0908203125,1491.77191162109,1571.41882324219,739.371826171875,378.675048828125,342.134399414062,539.859375,1792.86248779297,1140.70004272461,615.464050292969,704.878112792969,965.86865234375,745.237426757812,673.96875,563.128112792969,460.031219482422,314.179695129395,336.459365844727,212.690628051758,149.362487792969,177.942176818848,250.589042663574,313.260917663574,321.345001220703,219.294357299805,277.430633544922,505.535614013672,418.886260986328,382.290969848633,564.989974975586,733.15503692627,2913.95812988281,2316.67406082153,362.871246337891,398.607467651367,380.668762207031,417.323150634766,762.891265869141,3596.5426864624,12436.14453125,7840.25775146484
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-V7_04-YG9_03",6419,48.8287544250488,108.677490234375,210.177490234375,313.526214599609,491.187561035156,860.284912109375,1895.69348144531,1431.29504394531,1440.28491210938,518.955017089844,317.912475585938,175.450004577637,159.89875793457,283.801246643066,679.759986877441,651.847503662109,527.003128051758,2068.06872558594,3111.07531738281,2757.66564941406,3091.89392089844,2926.72192382812,3690.25939941406,2729.546875,1764.91571044922,1819.95007324219,845.659423828125,440.481262207031,391.153137207031,550.515625,1613.90618896484,1020.59371948242,731.620300292969,849.318786621094,1135.37817382812,854.699951171875,763.349975585938,627.965637207031,496.584381103516,344.695320129395,358.706253051758,241.499984741211,164.390625,184.439033508301,239.957786560059,290.75154876709,339.035614013672,245.72624206543,296.161865234375,514.207489013672,407.716888427734,379.238418579102,552.016891479492,675.712532043457,2533.50573730469,1994.63524246216,330.878112792969,362.65934753418,365.554992675781,398.113128662109,691.983734130859,3087.97212982178,10660.9140625,6699.66400146484
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-V7_05-UV8_02",3137,26.3537483215332,86.6374816894531,186.9775390625,293.226226806641,446.745056152344,830.994995117188,1873.07385253906,1401.71496582031,1462.46997070312,519.679992675781,305.080017089844,159.427513122559,152.64875793457,266.836250305176,626.109962463379,571.009979248047,562.68440246582,2245.30627441406,3377.75646972656,2977.39074707031,3400.65026855469,3194.77807617188,4191.85949707031,3028.54052734375,1956.65936279297,2013.00012207031,920.115600585938,451.343811035156,400.090637207031,525.146850585938,1442.65008544922,913.274993896484,861.229675292969,981.684265136719,1314.86254882812,966.721801757812,843.084350585938,690.506286621094,523.359344482422,355.720283508301,361.659378051758,222.862503051758,159.534362792969,167.901557922363,221.51717376709,251.04842376709,370.115631103516,254.259384155273,292.207489013672,481.185028076172,394.396881103516,365.294082641602,509.906234741211,597.804389953613,2121.00183105469,1740.72288894653,295.848114013672,336.457504272461,335.680633544922,357.715637207031,608.010650634766,2688.87032318115,9454.3564453125,5905.76849365234
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-V7_03-YG9_02",3122,51.0037574768066,93.2350006103516,192.052520751953,283.366241455078,434.782531738281,767.73876953125,1665.83239746094,1246.23876953125,1251.5673828125,437.247497558594,256.795013427734,141.121253967285,113.824996948242,248.674995422363,653.04370880127,629.626220703125,362.140609741211,1387.23754882812,2118.32507324219,1885.98449707031,2290.50964355469,2223.06567382812,2793.65637207031,2169.40649414062,1416.42181396484,1471.55944824219,662.956237792969,315.012512207031,292.187530517578,459.421875,1567.12188720703,986.699981689453,598.893737792969,710.817199707031,956.713989257812,739.889038085938,667.143737792969,545.770324707031,425.90625,285.665626525879,293.835922241211,198.351547241211,126.853118896484,166.392189025879,218.104667663574,253.739051818848,293.456237792969,196.955627441406,270.076873779297,424.262817382812,360.854064941406,299.318450927734,456.764999389648,627.774360656738,2019.29821777344,1996.30040359497,286.560928344727,311.809371948242,307.854370117188,338.1171875,637.214080810547,3128.1930770874,11235.4487304688,6923.89837646484
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-YG9_03-V4_02",2891,51.1487464904785,112.519989013672,239.684997558594,352.676239013672,513.590026855469,906.25,1844.65393066406,1327.25744628906,1257.294921875,446.962463378906,276.442504882812,160.224998474121,141.701248168945,322.371223449707,931.62491607666,870.942474365234,395.27815246582,1577.60632324219,2318.31896972656,2115.05920410156,2257.13122558594,2085.70336914062,2382.15295410156,1949.578125,1287.17181396484,1312.91882324219,629.715576171875,309.031311035156,286.103149414062,550.103149414062,2144.79388427734,1364.48129272461,470.892150878906,550.331237792969,772.996826171875,640.959350585938,577.565551757812,478.537475585938,392.503082275391,262.401557922363,289.143753051758,190.968734741211,143.193756103516,190.673408508301,288.585929870605,340.823417663574,290.889373779297,213.744369506836,258.213745117188,456.695648193359,363.108734130859,333.520309448242,500.748764038086,813.491279602051,3523.76452636719,2810.20775222778,352.348114013672,380.739364624023,349.170013427734,399.737518310547,829.914398193359,4330.54830169678,15188.6826171875,9611.74456787109
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-YG9_00-V15_00",2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7540626525879,0,0,0,0,16.1731262207031,75.3921890258789,853.57373046875,138.884063720703
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-YG9_03-V4_01",2583,45.7837562561035,100.702484130859,235.044982910156,304.318756103516,468.205017089844,831.6474609375,1741.48596191406,1260.04992675781,1238.44482421875,441.234924316406,265.059997558594,143.115013122559,134.306259155273,297.866249084473,859.922462463379,814.464996337891,215.015640258789,743.393676757812,1135.54382324219,913.378051757812,1556.98132324219,1670.38452148438,2162.29064941406,1847.34716796875,1199.17181396484,1243.75622558594,570.865600585938,289.575012207031,251.246887207031,529.203125,2018.36248779297,1299.03121948242,522.013977050781,614.643737792969,838.6875,691.753051757812,617.07177734375,498.75,411.534332275391,272.048408508301,289.668716430664,183.618728637695,137.484375,155.498420715332,271.326560974121,317.00154876709,287.490020751953,210.553115844727,253.010620117188,446.983123779297,331.889984130859,309.447189331055,480.074996948242,766.385627746582,3321.67517089844,2652.72655105591,325.369354248047,339.564987182617,331.301879882812,343.449371337891,782.242523193359,4108.99800872803,14591.548828125,9140.18109130859
"CD4 APC-Fire 750 (Cells)","01-Aug-2024","Aug1","R7_10-V7_04-YG9_02",2531,43.6812477111816,104.544982910156,200.244995117188,290.108734130859,444.279968261719,814.682495117188,1798.68859863281,1319.21008300781,1367.20483398438,467.914978027344,261.072509765625,152.105003356934,142.208755493164,237.691230773926,616.249977111816,567.819976806641,460.865615844727,1753.53747558594,2637.59387207031,2407.31555175781,2790.76892089844,2628.96557617188,3409.20959472656,2576.50927734375,1665.29681396484,1719.29992675781,776.703125,385.206298828125,324.534423828125,489.809448242188,1419.48126220703,900.143768310547,705.567077636719,823.462463378906,1098.03759765625,842.034301757812,737.034301757812,582.553161621094,466.659332275391,303.94214630127,319.462478637695,206.784378051758,143.0625,158.189064025879,194.348411560059,255.510917663574,319.818756103516,223.17936706543,253.010620117188,452.949371337891,356.379364013672,321.17155456543,494.643783569336,575.673774719238,1754.35498046875,1753.62657546997,279.109985351562,304.323135375977,321.696868896484,329.536254882812,592.331878662109,2763.52095794678,9956.712890625,6122.72845458984
