"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"CD303 BV750 (Beads)","01-Aug-2024","Aug1","V14_10-V15_10-UV14_02",6748,219.783748626709,57.09375,491.586242675781,351.117485046387,428.764999389648,460.918724060059,394.943740844727,159.318740844727,171.353729248047,29.1812477111816,51.185001373291,207.386245727539,4621.62113380432,37333.0039863586,31121.0957813263,18146.7855091095,8609.49365234375,9734.89697265625,9008.31278991699,4231.08139038086,2116.12504577637,1362.45310974121,1253.00314331055,637.587509155273,400.125015258789,396.274978637695,331.856254577637,1326.97815704346,38505.294921875,203232.089057922,185269.114059448,71659.0171852112,57.3562469482422,46.9874954223633,70.8749923706055,36.0281219482422,53.2546920776367,35.3062477111816,90.5953063964844,98.7656211853027,210.787490844727,1398.99362945557,5632.62617492676,10481.0667037964,6854.36694717407,6530.70429992676,11.4468994140625,9.71249389648438,41.1046867370605,270.285003662109,262.514999389648,290.507827758789,1531.07157897949,4544.61763000488,4205.23491668701,1968.58496856689,205.130310058594,371.099044799805,652.327819824219,3025.32781982422,13676.7072601318,20876.0075836182,18455.6543731689,8349.46408081055
"CD303 BV750 (Beads)","01-Aug-2024","Aug1","V14_10-V15_10-UV15_02",5079,0,31.4649963378906,470.307495117188,342.417503356934,411.94499206543,437.247489929199,366.922500610352,142.027496337891,135.284973144531,16.6749992370605,36.1775016784668,205.174995422363,4607.23002052307,37234.6934394836,31057.2598438263,18063.446641922,8592.71875,9675.875,8931.24394226074,4163.22518920898,2076.59379577637,1302.05632019043,1197.41873168945,614.693771362305,380.324996948242,373.10627746582,319.481239318848,1318.35004425049,38532.0390625,202528.159370422,184620.153121948,71438.8843727112,46.6593780517578,43.7062454223633,72.4499893188477,35.6999969482422,40.8187561035156,34.0593719482422,84.7218704223633,94.237491607666,212.165603637695,1387.18112945557,5633.44648742676,10473.7498092651,6847.3779335022,6532.70576477051,13.9443969726562,12.6262512207031,41.6943740844727,270.423736572266,264.318771362305,284.506881713867,1521.18559265137,4538.16548156738,4196.28569793701,1966.15699005127,200.998733520508,374.524398803711,651.444976806641,3012.08563232422,13656.1203460693,20826.8181304932,18422.5313262939,8329.2301940918
"CD303 BV750 (Beads)","01-Aug-2024","Aug1","V14_10-V15_09-UV14_02",2944,211.917491912842,50.5687484741211,495.392456054688,355.213737487793,431.048736572266,454.647483825684,401.468765258789,169.033737182617,180.379989624023,21.6412487030029,58.1812477111816,205.247489929199,4574.3874912262,36783.6700019836,30622.5850391388,17812.2347278595,8564.6689453125,9710.765625,9061.76591491699,4313.37509155273,2171.43437194824,1374.7250213623,1258.29684448242,664.228164672852,396.996871948242,410.746871948242,327.903129577637,1323.16254425049,38136.79296875,201344.549995422,179756.090621948,70354.1421852112,61.8843688964844,49.3499984741211,74.1234283447266,34.3218727111816,65.0999984741211,36.09375,91.5796813964844,88.7578086853027,206.981246948242,1395.12180328369,5612.70893859863,10424.0061569214,6773.64819717407,6474.49653625488,13.5281372070312,9.71250152587891,39.127498626709,282.148132324219,265.151245117188,284.264053344727,1524.68907165527,4519.26094055176,4177.51982879639,1935.52783966064,212.228118896484,375.195327758789,658.719390869141,3033.94415283203,13707.5710296631,20854.2917633057,18472.5694122314,8332.79611206055
"CD303 BV750 (Beads)","01-Aug-2024","Aug1","V14_10-V15_09-UV15_02",2229,0,31.9725036621094,474.440002441406,339.372489929199,415.134994506836,432.389976501465,368.735000610352,138.402496337891,136.517486572266,3.98749923706055,36.3224983215332,186.252494812012,4514.86478614807,36450.7520332336,30223.2188282013,17618.007188797,8515.03125,9604.8564453125,8916.66874694824,4216.36874389648,2124.99369812012,1336.77507019043,1199.54995727539,618.749984741211,382.800003051758,370.425003051758,305.250007629395,1296.8999710083,37785.4140625,199277.862495422,177774.574996948,69682.3218727112,45.0187530517578,51.8437423706055,78.5531234741211,36.0281219482422,47.5124969482422,45.0843811035156,95.0906143188477,91.8093757629395,209.934371948242,1366.31247711182,5567.29658508301,10314.7400436401,6725.44678115845,6414.18721008301,13.2506408691406,1.734375,37.3931198120117,267.232482910156,264.041244506836,275.418746948242,1522.64250183105,4487.10591125488,4145.85015106201,1937.85193634033,214.841232299805,379.185592651367,650.879974365234,3014.27508544922,13574.6193695068,20745.7400054932,18267.2969512939,8298.2966003418
"CD303 BV750 (Beads)","15-Aug-2024","Aug15","V14_10-V15_10-UV14_02",2523,205.029998779297,94.0325012207031,629.517505645752,485.025009155273,540.197509765625,495.537490844727,349.595016479492,156.744987487793,108.242523193359,33.4225006103516,31.4650039672852,186.977499008179,4775.42966794968,38664.9007816315,32351.166015625,18754.8060951233,9656.55605316162,10901.7568359375,9372.61874389648,4297.01249694824,1786.67504882812,1106.875,894.987548828125,432.231231689453,254.787490844727,256.643768310547,179.437507629395,1264.38129806519,39793.0492172241,209847.553123474,191477.753124237,74309.7468757629,29.7937622070312,28.4156188964844,41.0812454223633,39.4406280517578,49.6125030517578,38.4562530517578,33.140625,20.4093723297119,162.553119659424,1343.60622787476,5827.17168045044,10895.9802742004,7041.29980659485,6690.00918197632,8.39437866210938,27.541877746582,8.11687469482422,56.4712448120117,72.1499938964844,94.9050025939941,1252.49631500244,4532.54632949829,4138.84331893921,1905.87008285522,53.5337371826172,104.807502746582,345.921234130859,2898.66180419922,14330.8011703491,22031.3278884888,19478.1624221802,8810.75085830688
"CD303 BV750 (Beads)","15-Aug-2024","Aug15","V14_10-V15_10-UV15_02",2078,0,78.8800048828125,621.107471466064,480.783737182617,521.021240234375,483.212478637695,350.610000610352,150.473747253418,83.4112548828125,32.3712482452393,19.6112480163574,193.466245651245,4770.17356443405,38573.3695316315,32432.728515625,18781.0883216858,9656.69423675537,10926.025390625,9383.17196655273,4307.18778991699,1791.93444824219,1085.83752441406,890.931274414062,425.493774414062,256.609375,260.837493896484,186.071876525879,1271.25629806519,39847.1898422241,210131.076560974,191627.456249237,74400.8054695129,19.2937545776367,29.4984321594238,44.5921936035156,32.7796821594238,52.1390533447266,26.7093734741211,36.3562469482422,31.8937473297119,160.715618133545,1345.96865463257,5890.13872146606,10924.5276374817,7076.63867378235,6688.95913314819,23.1712646484375,23.2753143310547,14.7075004577637,55.5693740844727,62.7496871948242,77.8040580749512,1259.50315093994,4533.13617324829,4163.05498886108,1912.32192611694,66.9524917602539,86.5862503051758,336.987182617188,2943.68536376953,14366.9613265991,22166.1501541138,19576.1555862427,8864.81433486938
"CD303 BV750 (Beads)","15-Aug-2024","Aug15","V14_10-V15_09-UV14_02",517,215.179992675781,75.4725036621094,646.844959259033,479.080001831055,532.802490234375,481.907485961914,377.289962768555,144.129997253418,127.092498779297,39.9474983215332,20.1549987792969,198.142492294312,4722.64988279343,37905.3187503815,31867.01171875,18397.2377357483,9600.38808441162,10852.875,9386.30038452148,4280.09989929199,1804,1077.93127441406,866.387573242188,426.662506103516,263.243759155273,258.362518310547,193.806251525879,1244.78754806519,39338.3382797241,208156.303123474,186405.112499237,73280.6296882629,44.4281311035156,38.5874938964844,49.9406204223633,18.6374969482422,56.3718719482422,30.4499969482422,33.5999984741211,30.3187465667725,169.115619659424,1322.80300521851,5767.45293045044,10644.5056648254,6865.75293159485,6559.61220932007,1.80374145507812,14.0137481689453,17.551872253418,55.4999923706055,78.8099975585938,93.3093757629395,1236.19309234619,4479.40521621704,4081.12310409546,1853.90816879272,55.3699951171875,82.9843826293945,339.141235351562,2864.40863037109,14183.2660140991,21831.5290603638,19161.9046096802,8689.91199111938
"CD303 BV750 (Beads)","15-Aug-2024","Aug15","V14_10-V15_09-UV15_02",444,0,62.8574981689453,606.716236114502,435.942489624023,526.857482910156,466.17497253418,338.574981689453,143.477493286133,92.3287658691406,7.32250022888184,30.1600036621094,185.853742599487,4674.40110349655,37548.2210941315,31445.931640625,18243.6820716858,9483.75331878662,10723.4189453125,9215.35311889648,4211.72831726074,1755.35943603516,1052.66564941406,852.121887207031,409.200012207031,231.068740844727,261.971878051758,175.621879577637,1209.14063644409,38779.2640609741,206275.748435974,184702.964061737,72574.3562507629,53.5828170776367,25.6265602111816,45.3140640258789,38.4890594482422,52.5984344482422,21.6890640258789,10.3687477111816,16.4390621185303,146.081249237061,1270.86092758179,5658.02299880981,10568.6760749817,6900.27148628235,6325.98720932007,32.1553192138672,34.5834350585938,31.6696853637695,55.0837478637695,62.2987518310547,104.964374542236,1205.91092681885,4428.69208145142,4030.68743515015,1818.8737449646,44.4584350585938,98.2393798828125,338.470306396484,2855.29815673828,14001.6888656616,21589.3562088013,19012.6028518677,8609.29333877563
"CD303 BV750 (Beads)","15-Aug-2024","Aug15","V14_10-UV15_00",69,217.572479248047,42.9924926757812,0,47.9225006103516,0,13.4850006103516,30.5224914550781,0,0,69.310001373291,0,0,39.222499370575,36.0324993133545,0,80.1124992370605,66.8937454223633,118.456268310547,65.1062622070312,20.6250152587891,1.30624389648438,21.65625,9.21249389648438,23.4437561035156,0,0,52.5250015258789,19.4562492370605,164.656257629395,1116.15627288818,485.924999237061,140.250003814697,0,35.9624938964844,39.0468826293945,0,15.2906265258789,46.6593704223633,10.828125,17.7187480926514,7.15312576293945,0,0,0,40.7531223297119,50.7281227111816,14.9850158691406,48.770622253418,0,38.7806243896484,0,35.3118705749512,0,29.7618751525879,0,0,21.9643707275391,35.3831253051758,0,0,75.7099990844727,1.48312377929688,63.421257019043,135.317493438721
"CD303 BV750 (Beads)","22-Aug-2024","Aug22","V14_10-V15_10-UV14_02",5794,211.631623268127,38.3502311706543,347.08422088623,253.091522216797,312.63005065918,301.874481201172,284.149398803711,143.1875,98.5643463134766,42.2584419250488,44.5091361999512,156.161708831787,3877.92369842529,31720.7328948975,25995.7872714996,15290.8273258209,7257.72581481934,7758.96482849121,7080.42593383789,3073.50442504883,1409.23754882812,930.809631347656,839.116180419922,470.225158691406,255.741851806641,279.863021850586,212.245254516602,1150.70397949219,34302.0119400024,181384.871925354,164978.768234253,63454.5449447632,46.3708648681641,51.7003707885742,82.3265609741211,44.9323959350586,58.1435699462891,23.2198715209961,59.8750457763672,48.4812850952148,179.691581726074,1165.71354675293,4702.93651580811,8869.02117538452,5636.04979705811,5414.70341491699,23.1890563964844,23.1548233032227,34.3753128051758,155.119186401367,152.027839660645,171.602890014648,1196.21038818359,3769.35260772705,3475.7335357666,1614.23276901245,128.902435302734,196.848373413086,454.016296386719,2531.87089538574,11512.9780731201,17725.9007949829,15230.4234161377,6932.30525970459
