"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-UV10_02",20390,0,0,0,0,0,0,0,0,1121.79260253906,3264.81982421875,1726.9137878418,726.159942626953,553.537460327148,507.971221923828,286.592498779297,196.293746948242,865.184387207031,712.731323242188,543.709350585938,0,0,0,0,2519.1376953125,14438.1533203125,18832.7221679688,9754.83435058594,3767.98132324219,2890.18133544922,1966.62811279297,1228.32189941406,543.021911621094,0,0,0,0,545.967163085938,622.256164550781,470.695281982422,291.637512207031,210.689056396484,122.8828125,85.3781127929688,53.8125,23.5921859741211,11.7468719482422,1145.65878295898,6321.38064575195,6956.61282348633,4413.81103515625,2748.67221069336,1807.32275390625,2150.59033203125,898.579681396484,572.274353027344,321.587821960449,0,0,0,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V4_10",5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.46875,540.168701171875,762.781494140625,1302.94970703125,278.300048828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-V3_02",4888,0,0,0,0,0,16.9287109375,196.003784179688,41.179931640625,1818.73498535156,4456.32104492188,2303.79611206055,968.019989013672,745.626205444336,687.698699951172,385.518737792969,274.992492675781,1527.76251220703,2860.61865234375,3599.0283203125,2483.28442382812,1715.828125,1067.48120117188,786.706298828125,4527.53125,19339.41015625,24783.1040039062,12949.2005615234,5061.13439941406,3921.60333251953,2713.21881103516,1743.39685058594,764.362518310547,0,0,0,34.6171875,864.215576171875,917.109313964844,698.282775878906,433.846862792969,328.289031982422,196.973434448242,134.925003051758,95.0250091552734,51.7125091552734,54.2390594482422,1507.10250854492,8106.85012817383,9031.23733520508,5685.03857421875,3555.05258178711,2349.48840332031,2837.298828125,1157.55661010742,755.493743896484,421.765327453613,18.6803131103516,21.5406188964844,1.97750854492188,0,3.28406524658203,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_05-UV10_02",4560,0,0,0,0,0,0,0,0,402.048828125,1613.92236328125,904.944976806641,364.566223144531,262.594985961914,234.428741455078,121.074996948242,63.8724975585938,389.743743896484,0,0,0,0,0,0,886.221923828125,7614.5439453125,9771.12841796875,5158.34704589844,1944.00939941406,1483.28131103516,966.28125,567.840576171875,232.478149414062,0,0,0,0,173.0859375,261.646850585938,196.907806396484,103.326568603516,56.4375152587891,24.1828002929688,12.2390670776367,0,0,0,588.612213134766,3462.78384399414,4156.67263793945,2472.83715820312,1509.53067016602,1011.31408691406,1196.71881103516,484.584381103516,297.584075927734,158.764686584473,0,0,0,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-UV10_03",3414,13.0862464904785,0,0,0,0,0,0,0,745.662475585938,2581.65246582031,1154.85244750977,455.299987792969,363.333755493164,319.362487792969,190.239990234375,132.928741455078,533.190612792969,253.6875,5.9468994140625,0,0,0,0,1460.35327148438,9221.19677734375,11951.5004882812,6299.59704589844,2435.19372558594,1881.30950927734,1265.13751220703,799.700012207031,330.34375,0,0,0,0,287.076538085938,367.992156982422,285.731262207031,154.776565551758,106.410949707031,55.6499938964844,35.7984390258789,23.3625106811523,11.0250091552734,0,721.777557373047,4038.9084777832,4421.16482543945,2869.10729980469,1752.37783813477,1187.21435546875,1397.97564697266,587.814361572266,362.831237792969,203.33812713623,0,0,0,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-V3_01",3349,3.47999572753906,0,53.7225036621094,4.4224853515625,51.5474853515625,74.385009765625,253.89501953125,73.514892578125,2521.11511230469,6132.919921875,3170.27987670898,1336.39242553711,1055.4549407959,986.217437744141,631.474975585938,445.22248840332,1774.71258544922,2459.1875,2422.33740234375,1651.92504882812,1113.9560546875,662.268798828125,519.40625,5883.3505859375,26464.900390625,33970.1303710938,17652.0433349609,6922.23132324219,5399.00616455078,3701.15631103516,2458.63757324219,1100.27505493164,0,0,0,146.015625,1283.23120117188,1313.54986572266,1009.11560058594,652.246826171875,516.862487792969,338.625,260.924987792969,187.096878051758,127.640625,107.165618896484,2094.70883178711,11190.7427062988,12386.0044250488,7871.07958984375,4957.32955932617,3248.4150390625,3887.91381835938,1615.11935424805,1043.88568115234,615.703163146973,39.3381195068359,21.6112518310547,4.59063720703125,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-V3_03",2275,0,0,0,0,0,0,102.659912109375,0,1244.97009277344,3167.3798828125,1674.74984741211,705.569976806641,531.714950561523,499.597503662109,277.022491455078,178.13249206543,1303.77508544922,3092.1689453125,4359.78125,3092.51245117188,2141.49365234375,1344.61279296875,904.26904296875,3463.48779296875,14056.48828125,18014.4936523438,9335.42517089844,3654.06237792969,2854.15631103516,1908.36260986328,1233.78747558594,531.643768310547,0,0,0,0,590.493774414062,645.159362792969,492.84375,292.884399414062,228.046875,134.071868896484,99.5531311035156,46.0687561035156,41.9343719482422,36.6187438964844,1076.35311889648,5851.15676879883,6510.91311645508,4165.41357421875,2601.1462097168,1755.53442382812,2087.35498046875,858.376922607422,549.033752441406,300.116249084473,28.9562530517578,37.078125,30.0862579345703,14.4781341552734,16.3143768310547,7.76875305175781,18.2918701171875,6.35625457763672
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V4_10-UV7_00",1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.756225585938,1560.90014648438,2014.09985351562,2550.00634765625,1399.19995117188,828.025146484375,551.03125,199.375,105.806396484375,57.68115234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66497802734375,0,1.38751220703125,0,3.39935302734375,0,0,1.734375,3.26062774658203,11.7943725585938,0.211868286132812,15.7493743896484,11.3706359863281,19.9868774414062,0,12.359375,7.20375061035156
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_05-UV10_03",1777,0,0,0,0,0,0,0,0,330.019897460938,1722.67236328125,734.570037841797,289.347503662109,220.327499389648,192.125,85.3324890136719,85.6224975585938,294.799987792969,0,0,0,0,0,0,535.493896484375,5902.3935546875,7365.32470703125,4008.12487792969,1518.06872558594,1151.56256103516,756.249938964844,427.625,157.231262207031,0,0,0,0,111.496887207031,169.246826171875,136.106262207031,58.2749938964844,22.1156311035156,0,3.41250610351562,0,0,0,469.391265869141,2713.18704223633,3218.86135864258,1939.37817382812,1169.52377319336,773.253784179688,950.021240234375,373.168121337891,230.047515869141,131.257499694824,0,0,0,0,0,0,0,0
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-V3_04",824,0,0,0,0,0,0,0,0,785.1025390625,2393.22497558594,1223.0749206543,486.65625,369.423721313477,328.352478027344,186.868743896484,116.652496337891,1135.37188720703,3107.08740234375,4596.79711914062,3315.22802734375,2211.515625,1340.52197265625,761.440673828125,2520.34057617188,10570.2094726562,13540.3129882812,7018.92858886719,2646.60009765625,2083.70941162109,1406.28131103516,882.165588378906,407.034393310547,0,0,0,0,391.485900878906,466.364013671875,350.207794189453,208.8515625,153.890625,88.5281219482422,56.0109405517578,44.4281311035156,10.7296905517578,5.44686889648438,781.335968017578,4374.61428833008,4822.42971801758,3129.81848144531,1963.00033569336,1320.76123046875,1632.46313476562,684.731231689453,424.02001953125,262.02938079834,78.1112518310547,64.0568695068359,68.9300079345703,76.9106292724609,49.9318771362305,24.1537475585938,69.2478103637695,45.1293792724609
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-V3_04-YG3_04",733,0,0,0,0,74.4574584960938,143.33251953125,456.677490234375,247.079833984375,1190.88488769531,2584.11743164062,1319.79000854492,572.024993896484,436.014999389648,415.859954833984,232,150.292495727539,1263.00628662109,3588.75,5072.58154296875,3969.83129882812,3040.6748046875,2024.20654296875,2022.28125,3459.22509765625,11484.55078125,14567.3686523438,7554.31872558594,2950.54382324219,2337.77496337891,1638.10626220703,1081.36877441406,481.937530517578,90.0374755859375,0,11.15625,112.284362792969,529.068725585938,585.899963378906,400.378112792969,267.487487792969,218.465637207031,119.634368896484,83.0812377929688,78.6187591552734,40.6218719482422,50.3343811035156,898.267547607422,4655.68704223633,5151.71829223633,3271.37817382812,2073.47994995117,1369.87878417969,1671.45190429688,691.460601806641,454.753112792969,235.181251525879,76.4868621826172,60.3843688964844,85.1031341552734,49.5081176757812,56.5,18.0800018310547,34.2531280517578,33.4762573242188
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-V3_03-YG3_04",666,0.579998016357422,0,0,1.52249145507812,43.5,190.674987792969,560.0625,312.583618164062,1377.89880371094,2727.19616699219,1453.8424987793,609.797485351562,478.681228637695,416.911254882812,253.858749389648,181.068740844727,1160.60314941406,2971.92504882812,3942.88134765625,3184.46557617188,2615.04370117188,1839.92211914062,2091.47827148438,3661.0751953125,12255.306640625,15502.1284179688,8085.37829589844,3140.56884765625,2563.20635986328,1782.24066162109,1263.72814941406,565.193786621094,148.017150878906,65.690673828125,59.0625610351562,179.353088378906,602.535949707031,638.728088378906,477.060943603516,304.5,245.798431396484,142.078109741211,111.135940551758,72.7781219482422,59.2921905517578,79.0781097412109,985.784088134766,4842.8606262207,5377.46438598633,3533.68505859375,2172.82504272461,1511.33441162109,1753.3837890625,742.173736572266,472.755950927734,279.026252746582,57.9831237792969,56.6412353515625,25.6015701293945,32.3109436035156,25.1425018310547,0,24.71875,0.459064483642578
"CD56 BV605 (Cells)","01-Aug-2024","Aug1","V10_10-YG3_04-UV10_01",611,0,0,0,0,0,0,0,0,0,327.91748046875,362.427520751953,121.509979248047,95.6999969482422,66.6999816894531,3.625,3.625,166.71875,0,0,0,0,0,0,107.456298828125,3437.2939453125,4809.8876953125,2326.29382324219,860.887451171875,598.400085449219,366.712463378906,173.456237792969,72.6687622070312,0,0,0,0,0,15.0281372070312,24.0843811035156,9.7125244140625,0,0,0,0,0,0,250.096893310547,1598.26126098633,1684.35562133789,1137.6806640625,665.514373779297,456.487487792969,529.053771972656,193.556243896484,108.571868896484,53.6962509155273,0,6.77999877929688,0,0,0,0,0,0
